PARTICIPANT INDIVIDUAL NR;GROUP;PARTICIPANT (group_number/sound_order);ORDER;Sex;AR_1;AR_2;AR_3;AR_4;AR_5;AR_6;AR_7;AR_8;AR_9;AR_10;AR_11;AR_12;AR_13;AR_14;AR_15;AR_16;AR_17;AR_18;AR_19;AR_20;AR_21;AR_22;AR_23;AR_24;AR_25;AR_26;AR_27;AR_28;AR_29;AR_30;AR_31;AR_32;AR_33;AR_34;AR_35;AR_36;AR_37;AR_38;AR_39;AR_40;AR_41;AR_42;AR_43;AR_44;AR_45;AR_46;AR_47;AR_48;AR_49;AR_50;AR_51;AR_52;AR_53;AR_54
1;G1;1_1;1;F;6;7;8;7;8;6;7;6;7;7;7;8;7;7;7;8;7;6;6;7;6;5;4;4;5;4;6;6;5;5;4;5;5;3;4;3;7;6;6;7;7;7;7;7;6;7;5;6;6;5;6;7;6;5
2;G1;1_2;2;F;9;9;9;9;8;9;6;4;3;3;2;3;7;7;8;8;7;4;6;8;9;8;6;6;4;3;4;3;2;4;5;9;5;4;3;6;9;8;8;7;7;9;3;2;3;2;2;4;9;7;5;5;3;3
3;G1;1_3;3;F;7;8;2;2;3;6;7;5;5;5;6;6;8;7;1;2;5;6;6;5;2;1;5;5;7;8;5;1;5;5;5;7;1;2;3;3;7;7;2;2;4;6;7;7;1;2;7;6;6;6;2;2;5;6
4;G1;1_4;4;M;5;7;9;7;5;5;3;5;4;5;6;5;3;2;2;3;7;6;4;6;3;4;5;5;3;4;3;4;5;3;4;5;5;2;4;5;3;5;4;2;4;5;2;4;3;2;6;5;5;2;3;4;4;4
5;G2;2_1;1;M;7;8;7;9;9;8;7;6;7;7;7;7;7;7;7;6;7;7;6;6;6;6;6;6;5;5;5;7;5;5;5;5;5;6;5;5;7;8;6;6;6;6;8;6;5;8;6;6;6;5;6;7;8;7
6;G2;2_2;2;F;7;5;9;9;6;3;1;1;2;1;1;1;2;4;2;6;2;4;5;6;7;5;5;6;3;2;3;7;4;5;3;4;2;3;3;3;5;5;4;4;3;3;2;2;2;2;2;2;2;2;2;2;1;2
7;G2;2_3;3;M;8;8;6;7;7;9;9;8;6;4;8;8;8;7;5;5;8;6;9;8;6;5;8;8;5;9;5;4;8;6;9;9;4;4;7;8;6;7;5;5;7;8;9;6;5;5;8;8;7;7;4;4;8;8
8;G2;2_4;4;F;7;8;5;8;9;7;8;8;4;6;7;4;3;4;7;4;8;2;1;1;5;1;6;2;1;3;3;1;7;5;1;2;9;7;8;4;7;4;4;5;2;1;1;1;7;2;5;2;1;1;9;3;9;7
9;G3;3_1;1;M;5;7;7;9;9;9;7;8;7;5;6;8;5;7;9;8;7;6;5;7;3;5;7;5;4;4;7;5;5;3;5;3;3;3;3;3;7;8;9;9;8;9;7;7;9;7;9;8;7;8;7;7;7;8
10;G3;3_2;2;M;6;7;8;9;8;8;3;2;3;2;1;3;3;4;1;3;2;3;3;6;6;7;7;7;3;3;3;2;1;3;3;3;3;2;3;4;5;4;5;3;6;7;1;3;3;2;2;4;4;3;4;2;3;2
11;G3;3_3;3;M;7;8;5;3;4;3;6;6;3;4;4;5;8;6;2;5;5;3;8;5;6;6;7;4;3;7;4;4;6;5;6;7;2;6;6;3;7;7;6;4;3;8;6;4;3;5;6;6;7;6;6;4;5;3
12;G3;3_4;4;M;7;5;7;9;9;5;3;8;2;7;7;3;7;3;7;3;7;5;1;7;8;3;;1;1;3;8;6;6;4;7;5;9;2;7;9;3;6;7;8;7;5;7;3;1;7;7;7;7;3;1;5;5;7
13;G4;4_1;1;M;8;7;6;5;9;6;6;6;8;7;7;8;7;7;9;7;8;7;6;5;5;4;5;5;5;5;6;5;5;5;5;5;4;3;4;6;6;5;4;6;6;6;4;6;6;4;7;4;5;5;5;5;5;5
14;G4;4_2;2;F;7;8;9;7;5;7;3;9;8;3;2;3;5;7;8;7;8;6;6;8;6;8;7;7;5;4;4;3;5;4;4;8;5;6;7;8;7;4;5;9;5;3;6;8;8;5;6;5;7;6;6;5;5;5
15;G4;4_3;3;F;9;9;5;3;6;7;8;7;7;6;5;6;7;7;5;5;6;6;5;6;4;5;5;5;3;6;5;4;6;7;6;7;6;4;6;5;5;5;6;6;6;6;7;7;4;3;6;5;7;6;3;3;4;3
16;G4;4_4;4;M;3;5;5;2;4;4;2;3;4;3;6;1;2;4;7;2;7;3;2;2;4;3;3;3;3;4;5;4;6;3;3;3;3;2;7;5;2;2;6;5;6;3;2;2;4;3;6;3;3;4;6;3;4;3
17;G5;5_1;1;M;9;9;9;7;9;9;8;9;8;8;8;8;8;8;8;8;8;7;5;6;4;4;5;5;5;5;6;5;5;6;5;5;5;5;5;5;5;6;6;6;5;6;7;8;7;8;6;7;6;7;6;7;7;6
18;G5;5_2;2;F;9;9;9;9;7;9;3;1;1;1;1;3;1;3;5;3;1;1;9;3;9;9;3;5;1;1;1;1;1;1;1;5;3;1;3;1;1;3;3;5;3;7;1;1;1;1;1;1;5;1;1;1;1;1
19;G5;5_3;3;F;8;5;3;2;3;4;7;6;2;2;4;5;9;7;2;3;5;3;7;8;3;5;5;7;3;8;5;3;1;3;5;9;3;5;5;3;3;4;3;3;3;3;6;4;3;3;3;5;5;5;2;1;2;1
20;G5;5_4;4;M;7;5;7;5;7;5;4;4;4;3;4;3;4;4;3;3;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;3;2;3;2;3;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3
21;G6;6_1;1;F;9;7;5;7;7;5;5;7;7;7;5;7;7;7;9;7;7;5;5;5;3;3;5;3;5;7;5;5;5;5;3;1;1;5;5;5;7;7;7;9;7;7;7;7;5;7;7;7;5;7;5;5;7;7
22;G6;6_2;2;F;6;6;7;7;4;4;4;6;5;5;5;5;5;5;6;7;6;7;5;7;5;6;7;7;5;5;5;6;6;5;6;6;7;7;6;6;6;7;6;6;7;6;5;5;4;6;5;5;6;6;6;6;6;6
23;G6;6_3;3;F;9;9;6;5;6;4;7;5;5;4;6;6;8;7;5;4;7;5;6;6;5;5;3;6;6;8;5;3;3;4;7;7;2;4;5;3;6;8;2;4;7;7;6;9;7;3;6;7;6;4;2;3;4;3
24;G6;6_4;4;M;5;7;7;9;7;7;5;7;5;7;5;1;1;7;7;7;7;5;1;7;7;7;7;5;1;5;6;7;7;1;1;7;6;7;5;1;1;7;7;4;7;5;1;5;7;5;7;1;5;7;7;3;7;2
25;G7;7_1;1;M;7;5;9;3;3;5;5;5;7;7;5;1;5;5;3;7;1;5;3;5;1;1;1;1;3;5;3;5;1;7;1;2;5;1;1;1;7;3;7;3;5;2;8;2;3;4;3;6;2;3;3;7;4;4
26;G7;7_2;2;M;9;7;8;8;6;5;9;3;8;2;7;4;7;7;8;9;8;8;8;8;3;2;9;8;9;5;4;7;3;3;8;8;8;8;8;9;9;9;8;9;9;3;2;9;3;7;9;8;8;7;7;8;8;9
27;G7;7_3;3;M;9;9;6;6;6;7;9;9;8;5;7;9;9;5;5;5;7;7;9;6;7;5;7;9;7;9;5;6;7;5;7;9;6;5;9;5;7;7;5;5;7;7;9;5;5;5;7;7;7;7;5;5;7;9
28;G7;7_4;4;M;5;4;3;7;7;3;1;6;5;5;8;4;2;3;7;6;7;5;2;7;7;7;5;4;2;6;3;5;5;1;3;5;6;3;5;2;3;5;7;7;5;2;2;7;3;5;5;1;3;6;3;5;6;2
29;G8;8_1;1;M;5;7;7;5;5;7;2;3;4;2;4;2;3;5;7;7;4;7;2;4;7;2;2;2;2;1;5;2;4;6;1;6;6;2;6;6;5;2;2;2;3;7;7;2;2;4;2;2;2;3;6;6;6;6
30;G8;8_2;2;M;4;8;9;9;6;9;3;4;4;1;6;7;8;4;8;9;1;3;5;7;7;7;7;9;6;6;4;6;1;7;3;8;3;5;6;8;8;9;7;9;7;9;2;5;6;6;8;4;8;4;1;1;5;1
31;G8;8_3;3;M;5;4;3;3;5;2;5;5;4;1;3;5;4;7;5;5;8;6;3;3;7;7;7;7;7;7;4;3;3;3;7;6;3;3;3;3;7;7;1;3;5;6;5;3;7;2;3;3;7;7;2;3;3;4
32;G8;8_4;4;M;1;1;5;5;5;1;1;3;1;5;5;1;1;2;3;3;4;1;3;5;1;3;3;1;1;3;4;4;6;1;1;2;2;2;5;1;1;3;3;4;3;1;1;3;2;2;2;1;1;3;3;4;5;1
33;G9;9_1;1;F;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;7;7;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
34;G9;9_2;2;F;9;9;1;5;5;7;5;7;7;3;7;3;7;9;9;9;5;9;5;9;9;7;7;5;1;3;5;1;5;7;9;9;9;9;5;5;7;9;5;7;9;9;1;9;7;1;1;3;9;5;5;7;1;3
35;G9;9_3;3;M;7;8;3;2;6;6;8;6;5;5;6;6;9;6;3;4;6;7;3;3;6;2;7;3;5;8;3;3;3;3;5;4;3;3;6;2;3;4;5;3;6;6;4;5;3;1;3;4;5;5;2;3;5;6
36;G9;9_4;4;F;5;5;3;7;9;2;7;6;8;4;9;1;1;2;9;2;9;2;5;5;9;7;9;2;2;4;9;5;9;1;2;5;9;5;8;7;3;7;9;6;8;2;2;7;9;7;7;4;6;6;9;3;9;6
37;G10;10_1;1;M;5;7;5;6;7;8;6;5;6;4;7;7;7;5;8;3;6;9;5;6;7;4;7;4;4;6;7;7;4;5;2;2;3;6;5;6;7;7;3;3;5;8;8;8;7;8;3;5;3;5;5;9;9;7
38;G10;10_2;2;M;5;7;6;7;7;7;3;3;3;5;3;2;3;5;4;8;3;3;4;5;7;4;4;6;4;3;7;1;1;6;3;8;8;3;3;7;5;6;3;3;4;7;7;3;7;3;5;2;7;7;3;7;3;3
39;G10;10_3;3;M;5;5;5;6;5;6;5;5;5;4;5;4;4;4;5;5;4;5;4;4;4;4;5;5;6;5;5;5;5;6;5;5;6;5;4;5;4;4;4;5;5;4;4;4;3;3;3;3;4;4;4;3;3;3
40;G10;10_4;4;F;3;6;6;4;6;8;6;6;7;7;8;7;6;5;7;5;7;7;5;7;6;6;7;7;8;5;7;7;6;6;7;6;6;5;7;7;6;7;7;6;7;7;7;6;6;6;6;7;8;7;7;7;7;7
41;G11;11_1;1;F;9;5;4;5;9;7;5;5;9;9;3;5;5;5;9;7;5;5;5;3;5;7;5;5;5;5;7;5;5;5;5;7;3;5;7;5;5;3;9;5;5;7;5;9;9;5;5;9;9;7;9;9;5;9
42;G11;11_2;2;F;9;9;9;9;9;9;9;7;7;7;7;9;9;9;9;9;9;9;7;7;7;7;7;7;9;8;9;7;9;5;4;5;7;7;7;7;7;8;4;3;3;7;5;7;5;7;5;3;3;3;3;3;3;3
43;G11;11_3;3;F;8;9;5;4;6;8;9;8;5;4;6;7;9;7;4;4;7;6;4;5;5;4;7;6;7;8;6;5;6;7;6;8;5;6;7;8;7;6;7;6;7;7;7;7;5;4;7;6;6;5;5;5;5;7
44;G11;11_4;4;F;6;6;5;6;5;6;5;7;5;6;6;6;6;7;6;7;7;7;6;6;6;7;6;6;7;6;6;7;6;6;5;7;6;6;7;6;5;6;6;6;6;6;6;6;6;6;7;6;5;6;6;6;6;7
45;G12;12_1;1;M;5;7;6;5;6;5;5;5;5;5;5;5;5;4;5;3;3;3;6;6;5;4;3;3;2;2;4;3;3;2;2;2;2;2;2;2;4;5;6;6;5;5;4;3;4;3;3;3;3;2;2;2;2;2
46;G12;12_2;2;F;7;9;9;9;9;9;9;9;7;7;5;3;3;3;3;3;3;3;1;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1
47;G12;12_3;3;M;2;3;4;4;4;5;5;4;4;5;6;6;6;5;6;6;6;6;6;6;6;5;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;4;4;4;5;5;6;6;6;5;3;3;3;4;5;5
48;G12;12_4;4;F;5;5;7;7;7;7;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;5;5;5;7;5;5;7;7;7;7;5;5;5;5
49;G13;13_1;1;M;5;9;3;8;9;2;5;3;6;5;1;3;1;1;5;3;3;3;5;3;3;3;3;3;3;2;3;3;2;3;3;3;1;1;1;3;3;1;3;2;3;3;3;1;1;3;2;1;2;1;1;1;1;1
50;G13;13_2;2;M;3;3;3;3;3;3;3;5;5;7;5;7;9;7;7;7;7;5;5;5;7;5;5;7;7;9;5;5;7;5;5;5;5;5;7;7;7;7;5;5;9;7;7;7;7;6;5;9;5;5;7;5;8;5
51;G13;13_3;3;F;3;2;1;2;3;4;5;5;2;2;3;5;5;4;3;4;5;3;5;4;4;4;4;5;9;7;4;3;4;3;3;7;2;2;5;3;6;5;3;3;3;5;5;7;1;2;1;2;5;5;2;2;3;2
52;G13;13_4;4;F;7;7;7;7;8;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;6;7;7;7;7;7;6;7;7;7;7;7;5;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7
53;G14;14_1;1;F;9;9;9;7;9;7;7;8;8;7;7;8;8;8;9;7;8;7;5;5;6;6;6;3;3;4;5;5;4;5;3;5;6;5;5;3;8;6;7;7;6;7;7;8;7;8;6;5;6;5;6;8;6;7
54;G14;14_2;2;M;3;7;9;9;9;9;9;9;9;8;7;9;5;8;7;7;8;6;8;7;8;8;8;7;8;6;8;7;7;7;9;7;6;5;7;7;6;6;5;7;5;6;7;7;7;5;5;8;7;7;7;8;8;8
55;G14;14_3;3;M;5;3;3;3;4;4;5;4;4;3;4;4;5;5;3;3;4;3;4;5;3;3;1;4;4;5;4;3;5;4;5;4;4;3;4;5;4;4;3;3;4;4;5;5;3;3;5;4;4;4;3;2;5;5
56;G14;14_4;4;M;6;6;6;5;7;8;5;7;8;7;7;5;5;6;8;7;8;6;6;7;7;7;7;5;3;7;6;7;8;5;6;7;7;7;8;6;5;6;8;8;8;5;4;7;7;7;8;4;5;7;7;6;7;5
57;G15;15_1;1;M;3;7;6;5;3;7;9;8;7;6;6;7;9;8;5;7;8;9;2;1;1;1;2;1;1;2;3;2;1;3;1;1;1;3;2;2;6;7;9;9;9;9;7;8;9;8;9;9;7;9;9;9;9;9
58;G15;15_2;2;F;8;7;9;6;3;4;8;3;1;1;4;2;1;2;1;4;1;1;7;9;7;3;8;7;2;3;4;5;2;2;4;1;2;1;1;5;6;8;6;9;9;9;1;2;1;1;1;1;2;1;1;2;1;1
59;G15;15_3;3;F;3;5;3;5;3;5;3;7;1;1;3;1;3;3;1;5;5;1;5;1;1;1;1;1;5;5;1;1;1;1;1;1;1;3;1;1;5;3;2;2;1;2;1;3;1;2;1;2;1;1;1;1;1;2
60;G15;15_4;4;F;5;5;7;7;7;9;5;5;5;6;6;6;5;7;3;2;4;4;3;5;7;7;8;7;6;7;5;5;6;6;6;6;3;5;6;7;7;6;5;7;5;4;5;5;5;4;5;5;8;8;8;8;8;9